vp;trial;timest;timeend;x;y;duration;roi
vpja57;4;8363;8384;313,5;240,7;21;0
vpja57;4;8406;8971;263;92,8000000000001;565;0
vpja57;4;9052;9520;40,6;-88,6;468;255000
vpja57;4;9542;10000;-0,899999999999977;-72,5;458;255000
vpja57;5;116;189;5,74482758620684;-10,8931034482758;73;2,55e+08
vpja57;5;237;499;-34,8551724137932;-175,493103448276;262;255000
vpja57;5;509;725;-34,1551724137931;-166,793103448276;216;2,55e+08
vpja57;5;736;1350;-26,8551724137932;-171,493103448276;614;2,55e+08
vpja57;5;1359;1546;-36,8551724137932;-179,893103448276;187;255000
vpja57;5;1662;1882;-396,555172413793;207,906896551724;220;255
vpja57;5;1906;2203;-437,255172413793;217,506896551724;297;255
vpja57;5;2218;2423;-454,355172413793;216,806896551724;205;255
vpja57;5;2444;2469;-450,955172413793;219,806896551724;25;255
vpja57;5;2486;3052;-416,455172413793;209,006896551724;566;255
vpja57;5;3131;3479;327,144827586207;148,006896551724;348;255255000
vpja57;5;3503;3780;377,644827586207;185,906896551724;277;255255000
vpja57;5;3800;4243;417,944827586207;192,606896551724;443;255255000
vpja57;5;4282;5097;373,544827586207;97,3068965517242;815;255255000
vpja57;5;5134;5277;246,844827586207;170,806896551724;143;255255000
vpja57;5;5340;5452;9,04482758620691;-174,593103448276;112;2,55e+08
vpja57;5;5480;5660;-27,2551724137932;-199,593103448276;180;255000
vpja57;5;5672;6011;-44,9551724137931;-176,793103448276;339;255000
vpja57;5;6018;6209;-31,7551724137932;-179,293103448276;191;255000
vpja57;5;6262;6518;-467,255172413793;-38,8931034482758;256;0
vpja57;5;6542;6743;-476,855172413793;22,3068965517242;201;0
vpja57;5;6782;7211;-363,555172413793;-55,3931034482758;429;0
vpja57;5;7231;7414;-364,355172413793;-23,8931034482758;183;0
vpja57;5;7478;8009;-397,255172413793;-305,693103448276;531;0
vpja57;5;8039;8237;-293,155172413793;-307,393103448276;198;0
vpja57;5;8351;8548;500,444827586207;-228,793103448276;197;0
vpja57;5;8574;8702;556,844827586207;-157,993103448276;128;0
vpja57;5;8722;8746;576,244827586207;-155,493103448276;24;0
vpja57;5;8766;8816;601,244827586207;-151,093103448276;50;0
vpja57;5;8835;8867;604,844827586207;-151,193103448276;32;0
vpja57;5;8886;8920;587,844827586207;-152,093103448276;34;0
vpja57;5;8953;9033;738,744827586207;-131,593103448276;80;NA
vpja57;5;9051;9113;759,744827586207;-128,593103448276;62;NA
vpja57;5;9188;9567;320,544827586207;78,7068965517242;379;255255000
vpja57;5;9588;9896;281,444827586207;92,6068965517242;308;255255000
vpja57;5;9939;9999;282,944827586207;73,5068965517241;60;255255000
vpja57;6;160;250;1,09576719576717;16,7777777777777;90;2,55e+08
vpja57;6;301;1241;28,3957671957672;-210,522222222222;940;255000
vpja57;6;1263;1617;60,5957671957672;-246,522222222222;354;255000
vpja57;6;1675;1852;250,695767195767;81,3777777777777;177;0
vpja57;6;1870;2158;231,095767195767;128,077777777778;288;0
vpja57;6;2176;2582;280,095767195767;136,977777777778;406;0
vpja57;6;2604;2758;229,695767195767;135,877777777778;154;0
vpja57;6;2825;2987;-315,904232804233;143,077777777778;162;255255000
vpja57;6;3001;3243;-320,204232804233;138,477777777778;242;255255000
vpja57;6;3252;3545;-328,604232804233;147,177777777778;293;255255000
vpja57;6;3560;4240;-330,604232804233;138,977777777778;680;255255000
vpja57;6;4289;4487;-90,4042328042328;81,0777777777777;198;0
vpja57;6;4530;4705;4,09576719576717;-27,2222222222223;175;2,55e+08
vpja57;6;4752;4947;50,0957671957672;-240,522222222222;195;255000
vpja57;6;4958;5340;44,4957671957673;-249,522222222222;382;255000
vpja57;6;5356;5611;47,4957671957673;-210,222222222222;255;255000
vpja57;6;5650;5963;-52,8042328042328;-309,622222222222;313;255000
vpja57;6;5996;6201;63,2957671957672;-240,922222222222;205;255000
