stimulus;background.size;gaze.size;head.size;body.size;nongaze.size;background.m_x;background.min_x;background.max_x;background.m_y;background.min_y;background.max_y;gaze.m_x;gaze.min_x;gaze.max_x;gaze.m_y;gaze.min_y;gaze.max_y;head.m_x;head.min_x;head.max_x;head.m_y;head.min_y;head.max_y;body.m_x;body.min_x;body.max_x;body.m_y;body.min_y;body.max_y;nongaze.m_x;nongaze.min_x;nongaze.max_x;nongaze.m_y;nongaze.min_y;nongaze.max_y
17D_ROI.png;936507;18931;58339;187245;27778;746,65456638338;1;1280;475,78810836438;1;960;829,513443558185;744;914;660,082457345095;585;740;275,843672328974;141;404;188,494369118428;40;341;261,77330769847;21;536;518,895073299688;281;785;251,546763625891;144;371;871,423572611419;776;960
18A_ROI.png;1138063;16871;13099;39391;21376;631,688453099697;1;1280;487,098696645089;1;960;493,954181731966;377;677;534,63564696817;440;609;706,769371707764;651;761;161,944117871593;85;231;703,247772333782;596;813;326,433322332512;209;428;1069,05117889222;964;1152;565,574335703593;470;660
18B_ROI.png;1125946;22527;14525;44921;20881;633,598974551177;1;1280;489,520919298084;1;960;504,492786434057;401;619;518,333821636259;417;611;718,42099827883;638;778;123,312702237522;46;201;719,884463836513;601;838;297,940094833152;165;406;934,364494037642;824;1096;594,458550835688;481;681
18C_ROI.png;1137215;21325;13183;40351;16726;631,750457037587;1;1280;488,509637139855;1;960;1068,53420867526;964;1152;549,916201641266;454;644;721,56451490556;644;788;147,196996131381;71;221;696,315481648534;590;806;309,889569031746;178;413;491,115688150185;375;677;521,70859739328;425;595
18D_ROI.png;1135890;18900;13334;40573;20103;631,987548090044;1;1280;487,177091091567;1;960;956,23746031746;851;1105;591,95873015873;482;674;773,765936703165;697;839;159,296385180741;82;236;735,016193034777;623;848;320,607941241712;187;422;545,489180719296;447;650;534,184450082077;437;623
19A_ROI.png;1097104;22581;20797;67949;20369;671,700961804897;1;1280;464,070862014905;1;960;349,879500464993;277;425;811,446880120455;711;928;289,697456363899;216;361;388,888733952012;291;495;282,677743601819;143;433;604,115792726898;463;769;833,985517207521;729;941;679,676763709559;605;744
19B_ROI.png;1090425;42243;20288;63527;12317;662,439129697136;1;1280;466,640829951624;1;960;553,155126293114;424;687;820,766044078309;704;924;383,333793375394;313;450;317,55949329653;220;420;353,407464542635;218;500;526,461646229162;383;687;902,109929365917;851;965;571,793212632946;498;656
19C_ROI.png;1077420;23347;28627;74410;24996;669,341978058696;1;1280;483,869572682891;1;960;920,347239474022;808;1035;531,511029254294;453;601;361,780172564362;256;455;215,909840360499;118;322;320,007283967209;183;467;453,320212337051;267;634;409,193310929749;330;492;671,549407905265;566;795
19D_ROI.png;1071791;13634;26263;68481;48631;671,392225723112;1;1280;467,265994023088;1;960;898,006674490245;845;966;551,286269620068;475;639;344,870730685756;243;433;280,78197464113;187;382;297,756677034506;162;438;509,016106657321;331;682;529,761201702618;391;673;820,023585778619;694;931
1A_ROI.png;1124499;10065;11974;79326;2936;642,969477963075;1;1280;486,894953219167;1;960;314,229806259314;259;370;572,43825136612;517;629;645,930432603975;590;700;183,389928177718;113;260;636,280475506139;448;783;418,602627133601;226;953;905,036103542234;875;936;600,115122615804;571;630
1B_ROI.png;1124247;3325;12181;79279;9768;639,220701500649;1;1280;487,193093688487;1;960;295,026466165414;263;328;608,405112781955;577;639;644,856005254084;592;698;184,84016090633;112;262;640,46854778693;447;803;413,928505657236;226;952;900,162162162162;846;955;575,624795249795;521;630
1C_ROI.png;1126951;2875;11569;77406;9999;643,298867475161;1;1280;487,488649462133;1;960;905,33252173913;876;935;599,894956521739;571;629;643,651828161466;592;693;185,166565822457;113;263;631,529687621115;475;794;406,570343384234;225;952;314,698669866987;259;370;572,527752775278;518;628
1D_ROI.png;1123484;9630;11654;80902;3130;640,72582164054;1;1280;486,621991946481;1;960;900,476012461059;846;954;575,757736240914;521;631;628,351982152051;576;677;183,69280933585;113;262;621,528528342933;455;783;421,962386591184;227;950;295,173162939297;264;327;608,138658146965;579;639
20A_ROI.png;1009004;79955;27954;65002;46885;633,552170258988;1;1280;472,543528073229;1;960;308,464048527297;22;588;571,075517478582;453;694;790,508120483652;698;891;231,09157902268;132;337;828,825128457586;666;1000;425,411110427371;277;560;1005,72310973659;876;1140;722,347019302549;615;840
20B_ROI.png;885648;36611;32688;79170;194683;583,5123423753;1;1280;431,588076752841;1;960;186,407254650242;57;300;580,012864985933;489;681;786,85257586882;688;887;188,966470876163;78;304;821,148414803587;639;1001;396,793179234559;241;531;887,105438071121;519;1186;767,285176414993;558;960
20C_ROI.png;915124;180781;27826;73675;31394;593,055770584096;1;1280;429,071876598144;1;960;873,532113441125;523;1165;778,415275941609;583;960;773,908251275785;691;849;225,91565442392;112;359;793,901024770954;617;987;423,26143196471;264;545;203,331623877174;87;305;624,056220933936;538;718
20D_ROI.png;1003811;50172;25706;69754;79357;635,576798819698;1;1280;469,830186160542;1;960;991,894443115682;860;1134;739,465658136012;628;865;799,171866490314;717;876;227,60063798335;118;341;801,665897296212;636;964;429,05704332368;278;570;287,550877679348;61;560;578,878649646534;460;706
21A_ROI.png;940981;14457;77166;193175;3021;666,787779987056;1;1280;506,108918245958;1;960;178,066818842083;89;262;811,233589264716;747;870;546,056073918565;397;715;139,4245263458;1;300;580,266887537207;291;863;462,541995599845;249;658;929,30718305197;872;987;781,574644157564;721;842
21B_ROI.png;950988;3500;75606;184602;14104;645,057553828229;1;1280;505,653164919011;1;960;151,581142857143;107;200;817,026857142857;745;882;583,27458138243;435;745;138,165635002513;1;291;621,728085286183;362;878;460,533027811183;238;652;1006,98858479864;919;1103;797,450723199092;737;855
21C_ROI.png;931087;3204;83069;195633;15807;670,734333096692;1;1280;506,581826402903;1;960;936,648876404494;877;995;802,142634207241;737;866;598,717668444305;358;769;137,889393155088;1;305;548,356693400398;251;841;468,897558182924;258;663;159,537926235212;66;247;823,079142152211;758;885
21D_ROI.png;953850;13844;77666;179280;4160;627,864267966661;1;1280;501,650993342769;1;960;1068,55576422999;983;1159;813,629731291534;753;872;692,067146499112;542;843;145,631653490588;1;316;663,848042168675;416;918;479,070459616243;263;666;144,283173076923;91;205;835,65625;760;906
22A_ROI.png;1176321;12982;6940;28668;3889;637,368747136198;1;1280;475,790524865237;1;960;633,169773532584;565;693;611,285318132799;504;688;703,192507204611;662;746;415,402161383285;363;471;717,701095297893;607;812;606,984861169248;460;960;931,122910773978;860;991;652,192080226279;628;675
22B_ROI.png;1172909;7927;7473;32078;8413;636,11723330625;1;1280;476,501426794406;1;960;692,566292418317;519;821;666,345023337959;645;687;691,306302689683;648;734;414,95142513047;359;472;696,477274144273;592;802;565,204501527527;465;651;943,904552478307;899;991;598,111137525259;508;661
22C_ROI.png;1189574;3168;8480;14709;12869;639,04884773877;1;1280;478,037552098482;1;960;939,408775252525;861;988;657,712436868687;635;680;676,295872641509;619;723;424,480306603774;371;479;679,692841117683;601;744;551,754843973078;465;655;632,672934959981;567;693;619,968062786541;511;699
22D_ROI.png;1180544;8078;8870;23780;7528;637,312418681557;1;1280;477,325991237938;1;960;942,3650656103;892;989;596,797474622431;508;660;680,491319052988;621;730;415,034385569335;361;473;666,235407905803;592;751;564,397098402019;457;648;688,042906482465;521;816;665,570802337938;645;687
23A_ROI.png;965575;14634;29963;184601;34027;635,219281775108;1;1280;491,492297335784;1;960;135,115962826295;6;232;871,116577832445;705;960;620,25581550579;500;720;80,2123285385309;1;194;630,465755873478;373;878;392,380382554807;128;640;1079,96358773915;822;1280;831,12210891351;692;960
23B_ROI.png;967824;32639;36117;179483;12737;645,329930855197;1;1280;490,765484220271;1;960;206,764759949753;23;455;821,526149698214;681;960;651,984716338566;541;752;95,5066312262923;1;220;660,201668124558;408;906;413,522361449274;176;638;1074,7665855382;1005;1176;862,082672528853;708;951
23C_ROI.png;974001;12355;29399;178794;34251;655,096447539582;1;1280;495,082295603393;1;960;1043,19927154998;972;1144;820,590692027519;670;907;629,318752338515;510;726;79,8490764992006;1;189;622,426871147801;374;870;380,680045191673;150;604;184,098157718023;1;434;808,109544246883;658;960
23D_ROI.png;971865;35571;31969;177197;12198;649,412238325282;1;1280;491,469959305047;1;960;1034,93629642124;758;1245;831,051165275084;685;960;579,574838124433;463;681;86,846069629954;1;205;561,388798907431;311;806;395,057873440295;162;635;89,0979668798164;1;172;857,122069191671;703;957
24A_ROI.png;1118445;7426;10692;77892;14345;639,297472830582;1;1280;479,121288038303;1;960;404,504578507945;347;448;481,896175599246;430;530;635,608305274972;573;690;158,835297418631;97;230;689,614761464592;528;785;551,189942484466;190;959;593,383757406762;509;667;443,184105960265;358;553
24B_ROI.png;1119653;8166;10732;78866;11383;639,560850549233;1;1280;478,357236572402;1;960;414,151114376684;350;462;438,253979916728;368;525;632,388091688409;569;686;159,213566902721;97;229;687,5810488677;609;758;556,347602262065;192;960;576,707458490732;503;629;498,982078538171;435;559
24C_ROI.png;1114715;14056;10302;82376;7351;640,595249906927;1;1280;480,406993715883;1;960;596,187250996016;511;670;441,738545816733;355;553;628,608231411376;579;677;156,136478353718;93;226;668,957341944256;453;760;528,830873069826;212;956;408,557475173446;350;453;481,696503877024;430;529
24D_ROI.png;1115542;11317;10582;82923;8436;641,505745189334;1;1280;481,162297788878;1;960;578,05460811169;503;632;499,585049041265;434;560;624,017293517294;574;674;156,869778869779;92;229;660,488031064964;443;752;514,539042244009;211;960;415,475817923186;352;466;438,682669511617;368;528
25A_ROI.png;982362;18939;56280;158304;12915;632,337210722727;1;1280;468,585150891423;1;960;143,211785205132;72;218;678,190823169122;539;776;696,569136460554;568;884;269,946624022743;142;429;733,707347887609;426;951;576,682857034566;341;960;603,820828493999;559;649;835,470305845916;758;915
25B_ROI.png;987790;9754;53327;152593;25336;634,071977849543;1;1280;464,08572571093;1;960;111,054644248513;70;152;687,631535780193;622;755;673,275320194273;549;849;285,994843137623;164;444;715,772079977456;409;932;587,226851821512;347;960;572,610198926429;494;675;807,311690874645;652;919
25C_ROI.png;1015716;10722;40831;145535;15996;613,974563756011;1;1280;473,617490519003;1;960;701,210221973512;660;742;749,097463159858;679;820;798,77644436825;696;916;242,159633611717;123;390;816,059868760092;540;1014;561,340948912633;295;960;282,828332083021;219;349;610,361277819455;484;700
